=====convnet_65(DropoutDescending[0.5;0.4;0.3;],Adam,relu,512,64,same,(3, 3))=====
ep 1 - l: 2.0340845847702025 ; acc : 0.24167999625205994 ; vl : 1.7482422348022462 ; vacc : 0.3889999985694885
ep 2 - l: 1.639024733505249 ; acc : 0.3981199860572815 ; vl : 1.5010987264633178 ; vacc : 0.4700999855995178
ep 3 - l: 1.4667266891098023 ; acc : 0.4640600085258484 ; vl : 1.3559045623779298 ; vacc : 0.521399974822998
ep 4 - l: 1.3558770928192139 ; acc : 0.5092999935150146 ; vl : 1.217251223564148 ; vacc : 0.5697000026702881
ep 5 - l: 1.2597821539306642 ; acc : 0.5487599968910217 ; vl : 1.135855816268921 ; vacc : 0.6057999730110168
ep 6 - l: 1.1752416006469726 ; acc : 0.5797399878501892 ; vl : 1.0785130088806152 ; vacc : 0.6273000240325928
ep 7 - l: 1.1238674712371826 ; acc : 0.5992199778556824 ; vl : 1.0236790063858032 ; vacc : 0.6445000171661377
ep 8 - l: 1.0649632693099975 ; acc : 0.6190599799156189 ; vl : 0.9373951999664306 ; vacc : 0.6711999773979187
ep 9 - l: 1.0221958171272278 ; acc : 0.6376000046730042 ; vl : 0.8948553342819214 ; vacc : 0.6895999908447266
ep 10 - l: 0.9849495214271545 ; acc : 0.6499999761581421 ; vl : 0.8683677708625793 ; vacc : 0.7069000005722046
ep 11 - l: 0.9593035717773437 ; acc : 0.661620020866394 ; vl : 0.8262138422966003 ; vacc : 0.7203999757766724
ep 12 - l: 0.9340885341644287 ; acc : 0.6694200038909912 ; vl : 0.8311978091239929 ; vacc : 0.717199981212616
