=====convnet_64(DropoutDescending[0.5;0.4;0.3;],Adam,tanh,1024,64,same,(4, 4))=====
ep 1 - l: 1.939814254875183 ; acc : 0.29297998547554016 ; vl : 1.6141144763946533 ; vacc : 0.4120999872684479
ep 2 - l: 1.5536111435699462 ; acc : 0.436379998922348 ; vl : 1.5506411643981934 ; vacc : 0.4390999972820282
ep 3 - l: 1.386223384552002 ; acc : 0.5046600103378296 ; vl : 1.3943454246520997 ; vacc : 0.49410000443458557
ep 4 - l: 1.2464131467437745 ; acc : 0.5596399903297424 ; vl : 1.235699508857727 ; vacc : 0.5672000050544739
ep 5 - l: 1.1563846168899536 ; acc : 0.5912200212478638 ; vl : 1.1436991682052613 ; vacc : 0.5990999937057495
ep 6 - l: 1.1170739463424684 ; acc : 0.6091200113296509 ; vl : 1.09380804271698 ; vacc : 0.6197999715805054
ep 7 - l: 1.0762095545578003 ; acc : 0.6223400235176086 ; vl : 1.0677286214828492 ; vacc : 0.6287000179290771
ep 8 - l: 1.03251589553833 ; acc : 0.6394000053405762 ; vl : 0.9998957902908325 ; vacc : 0.65420001745224
ep 9 - l: 1.0161746666908265 ; acc : 0.6445000171661377 ; vl : 0.968016692829132 ; vacc : 0.6636000275611877
ep 10 - l: 0.9910697069549561 ; acc : 0.6564000248908997 ; vl : 0.9655442888259888 ; vacc : 0.6632000207901001
