=====convnet_79(DropoutDescending[0.5;0.4;0.3;],Adamax,relu,1024,64,same,(3, 3))=====
ep 1 - l: 2.222808253707886 ; acc : 0.15002000331878662 ; vl : 2.0928277057647704 ; vacc : 0.26190000772476196
ep 2 - l: 2.0005291702651977 ; acc : 0.2645399868488312 ; vl : 1.8859943626403808 ; vacc : 0.35519999265670776
ep 3 - l: 1.8100907278442382 ; acc : 0.3319999873638153 ; vl : 1.7239343017578126 ; vacc : 0.3847000002861023
ep 4 - l: 1.7107576482772826 ; acc : 0.3637999892234802 ; vl : 1.648932759666443 ; vacc : 0.40959998965263367
ep 5 - l: 1.6495527939605712 ; acc : 0.3874399960041046 ; vl : 1.5993978187561035 ; vacc : 0.4296000003814697
ep 6 - l: 1.5827791626739502 ; acc : 0.41251999139785767 ; vl : 1.5190178512573242 ; vacc : 0.4505000114440918
ep 7 - l: 1.536960139274597 ; acc : 0.43623998761177063 ; vl : 1.4586160364151002 ; vacc : 0.47130000591278076
ep 8 - l: 1.4961373358917236 ; acc : 0.4505400061607361 ; vl : 1.4183409189224243 ; vacc : 0.489300012588501
ep 9 - l: 1.4649098095703126 ; acc : 0.4616599977016449 ; vl : 1.4208994037628173 ; vacc : 0.48660001158714294
