=====convnet_66(DropoutDescending[0.5;0.4;0.3;],Adam,relu,512,64,same,(4, 4))=====
ep 1 - l: 2.008581954727173 ; acc : 0.2504200041294098 ; vl : 1.7273973091125487 ; vacc : 0.3781999945640564
ep 2 - l: 1.6339202869415284 ; acc : 0.39598000049591064 ; vl : 1.4675024890899657 ; vacc : 0.4733000099658966
ep 3 - l: 1.4473316878509521 ; acc : 0.47049999237060547 ; vl : 1.3239751382827758 ; vacc : 0.5367000102996826
ep 4 - l: 1.3207936748123168 ; acc : 0.5221800208091736 ; vl : 1.1768650091171264 ; vacc : 0.5877000093460083
ep 5 - l: 1.2245786360931397 ; acc : 0.5617799758911133 ; vl : 1.0661342693328857 ; vacc : 0.6335999965667725
ep 6 - l: 1.1387452419281006 ; acc : 0.5957000255584717 ; vl : 1.003158672142029 ; vacc : 0.6570000052452087
ep 7 - l: 1.0957555815887452 ; acc : 0.6117600202560425 ; vl : 0.9620933164596558 ; vacc : 0.6617000102996826
ep 8 - l: 1.0435963479614259 ; acc : 0.6291000247001648 ; vl : 0.9307815176010131 ; vacc : 0.6777999997138977
ep 9 - l: 1.00518326713562 ; acc : 0.644540011882782 ; vl : 0.8929164372444153 ; vacc : 0.694100022315979
ep 10 - l: 0.9661282060050964 ; acc : 0.656000018119812 ; vl : 0.87870361328125 ; vacc : 0.691100001335144
