=====convnet_77(DropoutDescending[0.5;0.4;0.3;],Adamax,relu,512,64,same,(3, 3))=====
ep 1 - l: 2.1155390787124633 ; acc : 0.20097999274730682 ; vl : 1.97878328704834 ; vacc : 0.3192000091075897
ep 2 - l: 1.8377531199264527 ; acc : 0.3212999999523163 ; vl : 1.7334644533157348 ; vacc : 0.3962000012397766
ep 3 - l: 1.6856324698257446 ; acc : 0.37775999307632446 ; vl : 1.601895782661438 ; vacc : 0.4372999966144562
ep 4 - l: 1.591005217628479 ; acc : 0.41604000329971313 ; vl : 1.494234992790222 ; vacc : 0.4763000011444092
ep 5 - l: 1.5130273767089844 ; acc : 0.44742000102996826 ; vl : 1.4053952375411987 ; vacc : 0.5029000043869019
ep 6 - l: 1.4542054343032838 ; acc : 0.4684999883174896 ; vl : 1.3611907232284546 ; vacc : 0.5242999792098999
ep 7 - l: 1.405648395614624 ; acc : 0.492900013923645 ; vl : 1.3271414173126221 ; vacc : 0.5357999801635742
ep 8 - l: 1.3598504047775268 ; acc : 0.5103999972343445 ; vl : 1.2701606868743895 ; vacc : 0.5611000061035156
ep 9 - l: 1.3247968801116943 ; acc : 0.5214999914169312 ; vl : 1.2186674129486084 ; vacc : 0.57669997215271
ep 10 - l: 1.2837476424026488 ; acc : 0.5378000140190125 ; vl : 1.1853143142700195 ; vacc : 0.5942999720573425
ep 11 - l: 1.2503845985412598 ; acc : 0.5526400208473206 ; vl : 1.1747902837753297 ; vacc : 0.6003999710083008
ep 12 - l: 1.2201881127166747 ; acc : 0.5624399781227112 ; vl : 1.130818187904358 ; vacc : 0.6071000099182129
ep 13 - l: 1.1917064009094238 ; acc : 0.5739200115203857 ; vl : 1.0818401432037354 ; vacc : 0.6322000026702881
ep 14 - l: 1.1605952965927124 ; acc : 0.5860000252723694 ; vl : 1.0769461017608644 ; vacc : 0.6365000009536743
ep 15 - l: 1.138627234954834 ; acc : 0.5939800143241882 ; vl : 1.0387694799423217 ; vacc : 0.6399999856948853
ep 16 - l: 1.1137899056625367 ; acc : 0.6028199791908264 ; vl : 1.0160075296401978 ; vacc : 0.6496999859809875
ep 17 - l: 1.091037755279541 ; acc : 0.6101199984550476 ; vl : 0.9928145761489868 ; vacc : 0.6503000259399414
ep 18 - l: 1.0659403813171386 ; acc : 0.6204000115394592 ; vl : 0.9597731784820557 ; vacc : 0.6703000068664551
ep 19 - l: 1.0486912184906005 ; acc : 0.6302000284194946 ; vl : 0.9390103963851929 ; vacc : 0.6807000041007996
ep 20 - l: 1.025630098323822 ; acc : 0.6377800107002258 ; vl : 0.9344769163131714 ; vacc : 0.673799991607666
