=====convnet_53(DropoutDescending[0.5;0.4;0.3;],SGD,relu,512,64,same,(3, 3))=====
ep 1 - l: 2.3096845039367677 ; acc : 0.10198000073432922 ; vl : 2.298751282501221 ; vacc : 0.12999999523162842
ep 2 - l: 2.295272657241821 ; acc : 0.11240000277757645 ; vl : 2.294839305114746 ; vacc : 0.14380000531673431
ep 3 - l: 2.2860263160705565 ; acc : 0.11806000024080276 ; vl : 2.286731209564209 ; vacc : 0.1737000048160553
ep 4 - l: 2.266993356704712 ; acc : 0.1341399997472763 ; vl : 2.2693959396362304 ; vacc : 0.19990000128746033
ep 5 - l: 2.236918890914917 ; acc : 0.15929999947547913 ; vl : 2.2410917881011962 ; vacc : 0.20389999449253082
ep 6 - l: 2.201675765838623 ; acc : 0.18211999535560608 ; vl : 2.2092031764984132 ; vacc : 0.22040000557899475
ep 7 - l: 2.173825015411377 ; acc : 0.20015999674797058 ; vl : 2.192160255050659 ; vacc : 0.2287999987602234
ep 8 - l: 2.1522540810394286 ; acc : 0.208639994263649 ; vl : 2.159010218811035 ; vacc : 0.24210000038146973
ep 9 - l: 2.1286823765563967 ; acc : 0.21671999990940094 ; vl : 2.138607399749756 ; vacc : 0.23880000412464142
