=====convnet_63(DropoutDescending[0.5;0.4;0.3;],Adam,tanh,1024,64,same,(3, 3))=====
ep 1 - l: 1.9685189754867554 ; acc : 0.282260000705719 ; vl : 1.6765842500686645 ; vacc : 0.39089998602867126
ep 2 - l: 1.5977560116577147 ; acc : 0.4253000020980835 ; vl : 1.532196069908142 ; vacc : 0.4431999921798706
ep 3 - l: 1.438187129058838 ; acc : 0.48603999614715576 ; vl : 1.4831087537765504 ; vacc : 0.45910000801086426
ep 4 - l: 1.3317858097076416 ; acc : 0.5267400145530701 ; vl : 1.3761934465408325 ; vacc : 0.5042999982833862
ep 5 - l: 1.2434468167114259 ; acc : 0.5587000250816345 ; vl : 1.294166256904602 ; vacc : 0.5368000268936157
ep 6 - l: 1.1781797767257691 ; acc : 0.5883600115776062 ; vl : 1.2042060586929322 ; vacc : 0.5726000070571899
ep 7 - l: 1.127031574821472 ; acc : 0.6067799925804138 ; vl : 1.1153759546279907 ; vacc : 0.6044999957084656
ep 8 - l: 1.085409952735901 ; acc : 0.6221399903297424 ; vl : 1.1113170251846314 ; vacc : 0.6040999889373779
