=====convnet_80(DropoutDescending[0.5;0.4;0.3;],Adamax,relu,1024,64,same,(4, 4))=====
ep 1 - l: 2.224684761428833 ; acc : 0.1576399952173233 ; vl : 2.106346901702881 ; vacc : 0.2554999887943268
ep 2 - l: 2.027710196838379 ; acc : 0.24988000094890594 ; vl : 1.9504077877044679 ; vacc : 0.3061000108718872
ep 3 - l: 1.8298396500778198 ; acc : 0.3197399973869324 ; vl : 1.7174554077148438 ; vacc : 0.38260000944137573
ep 4 - l: 1.7046462227249146 ; acc : 0.36607998609542847 ; vl : 1.6217327194213866 ; vacc : 0.41530001163482666
ep 5 - l: 1.626368017425537 ; acc : 0.39427998661994934 ; vl : 1.541336417579651 ; vacc : 0.44209998846054077
ep 6 - l: 1.564148447380066 ; acc : 0.4221999943256378 ; vl : 1.475693839263916 ; vacc : 0.4700999855995178
ep 7 - l: 1.5079987868499756 ; acc : 0.44670000672340393 ; vl : 1.4360369100570678 ; vacc : 0.4862000048160553
ep 8 - l: 1.4645410134887695 ; acc : 0.4633600115776062 ; vl : 1.384538443183899 ; vacc : 0.5160999894142151
ep 9 - l: 1.4169589055633545 ; acc : 0.4830400049686432 ; vl : 1.334387855911255 ; vacc : 0.5299999713897705
ep 10 - l: 1.383756707458496 ; acc : 0.4932999908924103 ; vl : 1.293871049118042 ; vacc : 0.5422000288963318
ep 11 - l: 1.343706789932251 ; acc : 0.5133600234985352 ; vl : 1.272695262336731 ; vacc : 0.5562999844551086
ep 12 - l: 1.3140064016723634 ; acc : 0.5253199934959412 ; vl : 1.2481870161056519 ; vacc : 0.5532000064849854
