=====convnet_68(DropoutDescending[0.5;0.4;0.3;],Adam,relu,1024,64,same,(4, 4))=====
ep 1 - l: 2.0736196613693236 ; acc : 0.22526000440120697 ; vl : 1.8403778528213501 ; vacc : 0.3605000078678131
ep 2 - l: 1.7395001729583741 ; acc : 0.36287999153137207 ; vl : 1.6108206443786621 ; vacc : 0.4203999936580658
ep 3 - l: 1.5801001572036744 ; acc : 0.42131999135017395 ; vl : 1.4588373647689818 ; vacc : 0.4867999851703644
ep 4 - l: 1.4696080888748169 ; acc : 0.46413999795913696 ; vl : 1.360534187889099 ; vacc : 0.5188999772071838
ep 5 - l: 1.3695975856399536 ; acc : 0.5026199817657471 ; vl : 1.2550811082839965 ; vacc : 0.5645999908447266
ep 6 - l: 1.3015947700500488 ; acc : 0.5309000015258789 ; vl : 1.1880993560791016 ; vacc : 0.5860000252723694
ep 7 - l: 1.2413567456436156 ; acc : 0.5513399839401245 ; vl : 1.1439895414352417 ; vacc : 0.6071000099182129
ep 8 - l: 1.1876024686813353 ; acc : 0.5728999972343445 ; vl : 1.0641532608032227 ; vacc : 0.6312999725341797
ep 9 - l: 1.130198835029602 ; acc : 0.5953800082206726 ; vl : 1.0153691600799561 ; vacc : 0.6531999707221985
ep 10 - l: 1.0821251266860963 ; acc : 0.6122999787330627 ; vl : 0.9674602650642395 ; vacc : 0.6625999808311462
ep 11 - l: 1.0412702083969116 ; acc : 0.6269599795341492 ; vl : 0.9684136371612548 ; vacc : 0.6643000245094299
ep 12 - l: 1.0156511717414856 ; acc : 0.6392999887466431 ; vl : 0.9107260785102844 ; vacc : 0.6840999722480774
ep 13 - l: 0.9718455342483521 ; acc : 0.6558399796485901 ; vl : 0.8725966423034668 ; vacc : 0.7035999894142151
ep 14 - l: 0.9499682974624634 ; acc : 0.6627200245857239 ; vl : 0.8260802250862121 ; vacc : 0.7174999713897705
ep 15 - l: 0.9194447956466675 ; acc : 0.673740029335022 ; vl : 0.7990903131484985 ; vacc : 0.7235999703407288
ep 16 - l: 0.8948143605422973 ; acc : 0.6826599836349487 ; vl : 0.7936384210586548 ; vacc : 0.7251999974250793
ep 17 - l: 0.8767582181358338 ; acc : 0.6894400119781494 ; vl : 0.7704500789642335 ; vacc : 0.7368999719619751
ep 18 - l: 0.855112937374115 ; acc : 0.6967399716377258 ; vl : 0.7520793018341064 ; vacc : 0.7405999898910522
ep 19 - l: 0.8403575918769837 ; acc : 0.7015600204467773 ; vl : 0.744393638420105 ; vacc : 0.7427999973297119
ep 20 - l: 0.8218490855026245 ; acc : 0.7086799740791321 ; vl : 0.7257393624305725 ; vacc : 0.7523999810218811
ep 21 - l: 0.8163719284439087 ; acc : 0.7144399881362915 ; vl : 0.7123499828338623 ; vacc : 0.7559999823570251
ep 22 - l: 0.789869050617218 ; acc : 0.7201200127601624 ; vl : 0.6921547005653381 ; vacc : 0.7605000138282776
ep 23 - l: 0.7779385518264771 ; acc : 0.7260199785232544 ; vl : 0.6892469040870667 ; vacc : 0.7562999725341797
